Date,Open,High,Low,Close,Adj Close,Volume
2019-11-01,297.989990,298.420013,295.500000,296.089996,286.102509,1364300
2019-11-04,297.160004,298.220001,295.170013,296.820007,286.807892,1651600
2019-11-05,297.089996,299.690002,295.809998,299.179993,289.088287,2204500
2019-11-06,299.970001,301.649994,297.929993,301.570007,291.397675,1675000
2019-11-07,303.929993,307.100006,302.480011,305.209991,294.914886,2399400
2019-11-08,302.739990,304.290009,301.279999,302.619995,292.412231,1501600
2019-11-11,301.549988,302.329987,299.700012,300.839996,290.692322,1160900
2019-11-12,300.829987,302.730011,298.660004,300.500000,290.363739,1540800
2019-11-13,300.179993,304.000000,299.519989,302.899994,292.682831,1517900
2019-11-14,304.390015,305.890015,302.269989,304.589996,294.315796,1336400
2019-11-15,305.309998,305.440002,301.600006,303.660004,293.417175,1706100
2019-11-18,303.109985,306.380005,302.750000,304.540009,294.267517,1241300
2019-11-19,304.500000,304.640015,301.450012,302.239990,292.045044,1761400
2019-11-20,302.440002,303.170013,298.010010,300.570007,290.431396,1979500
2019-11-21,300.690002,301.869995,299.519989,300.269989,290.141541,1302500
2019-11-22,301.940002,301.940002,297.230011,299.309998,289.213898,1277300
2019-11-25,300.290009,300.630005,297.549988,299.049988,288.962646,1613000
2019-11-26,299.260010,301.350006,298.820007,301.239990,291.078827,3359100
2019-11-27,301.820007,302.790009,300.570007,300.760010,290.614990,1906500
2019-11-29,300.820007,300.890015,299.660004,299.809998,289.697052,981600
2019-12-02,299.750000,300.200012,294.269989,297.390015,287.358673,2705500
2019-12-03,295.130005,296.190002,292.700012,295.670013,285.696716,1921400
2019-12-04,296.040009,297.160004,295.149994,296.519989,286.518005,1742000
2019-12-05,297.130005,297.130005,292.500000,293.100006,283.213409,1941100
2019-12-06,294.980011,295.989990,294.260010,294.950012,285.001038,1462000
2019-12-09,295.000000,297.190002,294.549988,295.160004,285.203888,1960000
2019-12-10,296.029999,296.690002,294.549988,295.779999,285.802979,1565900
2019-12-11,296.000000,296.350006,293.049988,295.299988,285.339172,1749800
2019-12-12,295.269989,297.760010,294.119995,297.339996,287.310394,2742700
2019-12-13,294.640015,295.000000,289.100006,291.869995,282.024841,5195600
2019-12-16,293.029999,294.459991,292.850006,293.500000,283.599915,2410000
2019-12-17,293.500000,296.299988,292.750000,295.549988,285.580719,2474100
2019-12-18,295.989990,296.359985,291.820007,291.869995,282.024841,3309800
2019-12-19,292.059998,293.809998,291.500000,293.709991,283.802765,2333600
2019-12-20,293.850006,295.019989,292.779999,294.829987,284.885010,4866500
2019-12-23,294.910004,295.309998,293.029999,293.309998,283.416290,1309800
2019-12-24,293.910004,294.450012,293.359985,294.230011,284.305267,543600
2019-12-26,294.489990,295.730011,293.899994,295.730011,285.754700,1101800
2019-12-27,296.220001,296.299988,293.179993,294.109985,284.189270,1439100
2019-12-30,294.200012,295.609985,293.660004,295.140015,285.184601,1238900
2019-12-31,295.000000,295.450012,292.179993,293.920013,284.005737,1550700
2020-01-02,294.059998,294.579987,291.000000,291.489990,281.657684,2103600
2020-01-03,290.049988,292.899994,289.329987,291.730011,281.889618,1926000
2020-01-06,290.549988,292.070007,288.619995,291.809998,281.966858,2655100
2020-01-07,291.320007,291.690002,289.279999,291.350006,281.522430,1963400
2020-01-08,290.989990,295.480011,290.500000,294.690002,284.749756,2492800
2020-01-09,298.549988,301.959991,297.709991,299.420013,289.320221,3261200
2020-01-10,300.000000,300.269989,296.660004,297.239990,287.213745,2024200
